review,sentiment
day people watch classic movie friend watch movie present thats kinda stingy br br old movie like masterpiece unique way back movie thought made thats idea fresh people strain think new idea br br anyway movie true fan classic horror movie based investigator scotland yard investigating disappearance movie actor stumble three strange occurrence past resident house br br say anymore ruin movie already terrific movie old would never mind watching,1
first saw theater immediately fell love sad sony seen fit release dvd one day one day recently obtained vhs copy ebay sat watch year later happy report still stand test time acting spot john williams orchestration lush leslie bricusse song memorable older fill world love london london standouts enough said peter toole petula clarke michael redgrave michael bryant acting terence rattigan deserves update james hilton story really nothing like film good cheer selection glad released original soundtrack three cd set lot extra wish sony would hurry film,1
everything movie wrong wrong wrong take mike myers example reached point realize shtick changed since snl day ten year ago cutesy stream consciousness joke voice cat painfully unfunny try way hard weird type comedian cool cat supposed rest movie bad set unbelievably ugly clearly waste million dollar cardboard cut out background building would made sense constructing entire neighborhood main street alec balwin try funny great santini impression end looking sounding incoherent even innapropriate cheesecake moment faux celebrity paris hilton stick mind simply supposed dr seuss story avoid movie cost folk even interesting train wreck hope make horton hears robin williams bad seuss movie starring spasitc comedian trilogy,0
movie silly short funny movie unhappy easterner pleased west hire drunk wagon master john candy lead back east sight gag funny enough carry one richard lewis get nerve quickly honestly like anything ed lauter hilarious bumbling villain br br movie dedicated candy died massive heart attack ten day movie completed stand digital enhancement enabled candy character seen final scene candy good comedian gave u real good knee slapping belly laugh career movie caliber best br br also film recognize william sanderson gailard sartain ethan phillips ellen greene rodney grant,0
mix comedy romance music action horror knockout one reason people rave hong kong cinema looking something totally original look entertainment peak,1
loved show used actually leave pub ten minute closing run road catch remember daniel peacock sketch gandhi newsagent masterpiece set design lighting world creating atmosphere felt actually living v unusual comedy br br unfortunately encountered one person apart reviewer ever knew programme existed fact thank imdb coming existence proving fact imagined whole series drunken haze seriously starting believe,1
watching half movie noticed something peculiar found constantly switching tv channel see else exactly good movie trait br br movie listed number genre must say mostly failed misserably every one movie switched watch old rerun instead bottom line whole movie felt one making exactly know make ended concoction discernable taste,0
steve irwin admire man willing throw river clearly filled crocs snake lizard ton poop aforementioned reptile mud daily enthusiasm never able make want managed make wife come close br br movie fall parallel universe film category film people teeth drilled migraine film experience therefore like quiet mediocrity currently well populated disney film noisy well steve noisy happy time would cut right blasé teenager hear movie stupid tylenol codeine say enthusiasm catching would room full snake happened yet agreed beauty still going pet br br plot indeed predictable bad guy bad minute thought shopping consumer electronic superstore movie filled animal steve terri watched plot could call really reason throw yet another croc truck expectation low stayed way br br hoping though would bit sequel steve terri worked acting skill movie real plot animal fur still believe see steve anymore hope terri child continue involved australia zoo discovery channel least imagine seeing crocodile without member irwin family telling forcefully wonderful croc crikey,0
laughed hard since granny got caught wringer say one pothead hilarious quasi spoof val lewton george romero walking dead movie come love loath depending personal taste year br br story young actor pair play ghoulish prank rest troupe one spooky night visit cemetery island artistic director alan pretend bring dead back life conducting highly stylized ritual br br way much screen time misspent amateur dialog includes lame witticism melodrama kind unnecessary filler commentary alan stop irritating laughter way much action kick come close end film worth wait br br saw one late night local station television program ran film much like one one scared age might laugh way bitter end probably reason nowadays people still wear striped hip hugger,0
fantastic movie two people one young teenage girl middle aged man looking someone help fulfill certain emptiness left former loved one br br actor give brilliant performance various audience relate script although written gorman bechard seems though written woman point view time men relate male character well developed described movie br br end movie unusual powerful unexpected twist leaf speechless would recommend film anyone ever felt lonely abandoned loved one clear film alone,1
ice age one cartoon movie ever produced blue sky studio released company first introduced main character squirrel named scrat voiced chris wedge please note sound scrat scream sound tom scream tom jerry cartoon woolly mammoth named manny voiced ray romano everybody love raymond sloth named sid voiced john leguizamo titan e saber toothed tiger named diego voiced denis leary pixar bug life br br movie open scrat trying bury acorn right caused avalanche see herd going south coming ice age except manny going way looking mammoth looked like sid come cave yawning saw family abandoned pay toll aardvark unfortunately get pursued sylvia voiced kirsten johnston rd rock sun female orange sloth want sid go migrating sid eventually team manny became friend br br meanwhile nearby human tribe soto voiced goran visnjic evil saber toothed tiger want revenge tribe leader wiping half pack stealing infant son roshan away morning diego soto henchman lenny voiced alan tudyk oscar voiced diedrich bader zeke voiced jack black attacked tribe leader wife escaped roshan gave manny sid look eventually diego join went journey return roshan back tribe also looking well relax watch rest movie find okay besides manny sid diego scrat sylvia roshan supporting character including pack wolf roshan tribe using mention fat female purple sloth named jennifer voiced jane krakowski skinny female yellow sloth named rachel voiced lorri bagley sid show roshan relax tar pit incidentally two rhino carl voiced cedric entertainer pdi madagascar frank voiced stephen root pixar finding nemo go sid ruining meal confront manny cliff simple minor character went dodo using melon food supply br br gag movie funny instance manny talk trunk saying going jennifer rachel tar pit sid asks jennifer say jump gene pool see happens jennifer responds say go jump tar pit rachel also kick sid waist sylvia see diego holding sid neck teeth asks sid holding breath tell diego eat promptly walk br br since ice age success sequel first one ice age meltdown released ice age dawn dinosaur going releasing next year hardly die waiting see ice age dawn dinosaur like,1
okay fan nightmare series everyone say worst seen freddy revenge wtf worst movie pretty decent stick freddy story cool daughter etc etc br br found excited remember saw dvd box set instantly skipped sequence quite lot though like lisa zanes hand dream demon freddy claw lezlie dean holding knife lisa zane baseball bat doc hand freddy head exploding br br truly loved movie wish whole movie last minute br br way minute ten,1
film version sandra bernhard one woman broadway show gaspingly pretentious sandra spoof lounge act superstar sense irony fitfully interesting fitfully funny fan say scathingly honest may true also shrill unapologetic face bravado well suited film genre want make nice certainly make friend always going rub lot people wrong way even meet halfway material seriously lacking filmmaker nicolas roeg served executive producer though directed film chilly detached signature style bernhard co wrote show director john boskovich oddest touch sandra house audience looking completely bored feeling many real viewer likely share,0
take patience get david lynch eccentric change life affirming chronicle alvin straight journey stick though move slow straight john deere meet kind stranger along pilgrimage learn much isolation aging painful regret secret ultimately power family reconciliation richard farnsworth cap career year genuine performance sad poetic flinty caring sissy spacek match slow daughter rose pine private loss caring dad rarely modern film preached positively family,1
opinion several friend family member including finest entire gamut tarzan movie johnny weissmuller never played part well following issue series definitely rate collection film,1
film disappointed many reason first depiction future seemed first realistic well built feature marginal role story weak copy lost translation middle eastern setting man family meet new girl overseas karaoke bar camera movement imagery bad imitation excellent lost translation also credibility movie try something brilliant cultural wonder tim robbins even considered film female main actress awful play precog minority report show vagina movie like lost translation show excessive love scene r rated movie even worth watching videostore,0
movie horrible see discus entire film greatest chase scene ever eddie dumbs milk tim get chased hallway eddie put obstacle jock way hilarious consequence like cymbal nailing trumpet player buy dvd watch slow best obstacle knocked mop bucket one jock jump proceeds slide ground door slide pick speed thus defying physic mainly friction yet lie behind door supreme steepest stair case school ever jock proceeds clear air reality probably would die broken neck defy concept reality make funniest noise ever made situation go buy one trust scene worth buck,1
one beautiful moving thought provoking film around good family entertainment time make think hard issue involved every time see ghost zac riding bike puddle end help cry eye john thaw performance touching shame longer u gone forgotten outstanding film full mark,1
unfortunately one best effort yet made area special effect made completely pointless placed alongside lumbering silly equally pointless plot inadequate clichéd screenplay hollow man rather useless film br br practically everything seen done death character idea action sequence especially lift shaft genuinely intriguing element film impressive special effect however special effect done end film done death also hoping watching hollow man invisible man theme hardly original would basis something newer interesting long film turn overly familiar blood bath mass ineffectual histrionics mound clichés pile fast almost impressive br br top kevin bacon pretty useless job supporting cast hardly trying best good point might passable jerry goldsmith score competition better effort quite interesting use thermal imagery special effect tempted give film three ten effect push hollow man merit one notch br br,0
read biography lincoln maybe accurate portrayal br br maybe used equally alienating unrealistic worshiping portrayal unnaturally deify lincoln brilliant honorable savior country br br would make movie representing lincoln buffoon henry fonda made excellent lincoln portrayal aw shuck simple guy seemed little insulting br br granted bushie jr whole campaign make u think regular guy care rich privileged moron whole story br br film show lincoln sort simple almost simple minded kind guy film state lincoln sort got law accident even interested law falsely simplistic idea law right wrong film good defense attorney lounge around foot table make fun witness outcome mostly determined chance luck br br furthermore partly financed republican reaction play sponsored democrat come partly sentiment time film unfortunately religious racist conservative br br waste time film,0
spent hour drenched film nothing ever seen come close delicious funk film left never mind female advanced aging dilemma human fear vault screen viewing personally engaging ninth degree film invests one undeniable shared feeling life enjoyed dalliance raw wounded gall deep within empowers mutually shared vestment history human encounter reaching far deeper pain isolation skewed view self others result forgives tepid forming bridge away muddy sludge dead must encounter birth finding real people happy pursuit effort realism intersects dark ground bankrupt culture,1
saw yesterday sao paulo intl film festival going came see rated time pretty nice rate br br minute dying get never felt embarrassed producer movie screening br br like dialog shallow lead nowhere character shallower dialog nothing lead anywhere worst worst plenty siemens organic advertising movie despite fact already paid go movie entertain still bombarded main character chatting internet siemens mobile popping time lap top another character bath cutting hair organic shampoo displayed enormously screen would bearable plot character romance anything good bad really bad know sex city br br waste time money,0
great movie laughing time well austria get along german bavarian kind humor guess movie make sense watching german native speaker stefan erkan talking new kind turkish german accent became really popular country ger aut course stupid every comedy personal humor decide whether thumb,1
kidding much film hard digest right arjun ajay devgan unknowingly wish death father arrives london uncle played om puri abandon minute later problem theory anybody ever passed london heathrow know fête would impossible pull especially indian film problem end issue two main lead salman khan ajay devgan passing rock star verge achieving dream mean yeah saw success come susan boyle woman uk achieving dream age rare case really hard suspend disbelief felt casting salman ajay ill conceived would never cast madhuri dixit sridevi play role forced watch ajay devgan salman khan men well prance around desperately trying hang let even talk self conscious actress screen today asin second film seen hopeless actress conscious look concern looking good voguing camera rather giving good acting performance hard believe turned movie role star fluff fluffy actress nothing write home top film boringly dragged nothing special trust predict every clichéd thing going happen,0
